dup_group,group_size,row_index,Catalog,FIRST_ID,RA,Dec,z,Flux_FIRST_1400MHz,Host_name
347,2,2638,Lao,J102141.3+002449,155.42168,0.41323,0.37998,25.69,DESI J102141.20+002447.6
347,2,2637,Sasmal,J102141.1+002447,155.421625,0.4132222222,,26.0,
348,2,2650,Lao,J102254.7+375815,155.72614,37.97132,0.23451,38.56,WISEA J102254.27+375816.7
348,2,2649,Sasmal,J102254.2+375816,155.7261667,37.97127778,0.23,40.0,
349,2,2666,Lao,J102501.5+040158,156.25667,4.03405,0.21123,108.56,WISEA J102501.59+040202.5
349,2,6408,Mirabest,,156.25668,4.03401,0.2112,,
350,2,2676,Lao,J102622.8+325909,156.59296,32.98655,0.23788,56.37,WISEA J102622.31+325911.5
350,2,2675,Sasmal,J102622.3+325911,156.5930417,32.98655556,0.24,76.0,
351,2,2720,Lao,J103201.0+350247,158.00675,35.04804,0.12082,49.93,WISEA J103201.61+350252.9
351,2,2723,Sasmal,J103201.6+350252,158.00675,35.04802778,0.12,30.0,
352,2,2722,Lao,J103201.2+550556,158.00513,55.09869,0.97318,10.0,DESI J103201.23+550555.3
352,2,2721,Sasmal,J103201.0+550554,158.0045417,55.09844444,,10.0,
353,3,2729,Lao,J103215.9+315231,158.06617,31.87662,0.33417,119.69,WISEA J103215.88+315235.8
353,3,6789,Mirabest,,158.066145,31.8766,0.3342,,
353,3,2728,Sasmal,J103215.8+315235,158.066125,31.87658333,0.33,56.0,
354,2,2732,Lao,J103221.4+051432,158.08972,5.24011,0.24468,54.09,SDSS J103221.53+051424.3
354,2,2731,Sasmal,J103221.4+051421,158.0892917,5.239388889,,19.0,
355,2,2737,Lao,J103241.3+014432,158.17086,1.74175,0.73165,36.03,WISEA J103241.02+014430.4
355,2,2736,Sasmal,J103240.9+014430,158.1706667,1.74175,,37.0,
356,2,2739,Lao,J103258.8+304544,158.24481,30.76089,0.41944,23.24,SDSS J103258.75+304539.2
356,2,2738,Sasmal,J103258.7+304539,158.2447917,30.76094444,0.42,23.0,
357,2,2741,Lao,J103307.6+192355,158.28384,19.39875,0.19162,35.36,WISEA J103308.12+192355.5
357,2,2742,Sasmal,J103308.1+192355,158.2837917,19.39877778,0.19,30.0,
358,2,2759,Lao,J103511.4+340619,158.79857,34.10701,0.67881,128.36,SDSS J103511.65+340625.2
358,2,2758,Sasmal,J103511.3+340624,158.7974167,34.10683333,0.53,129.0,
359,2,2761,Lao,J103540.9+590713,158.92306,59.11891,0.47403,18.6,WISEA J103541.53+590708.0
359,2,2762,Sasmal,J103541.5+590707,158.923,59.11880556,0.47,9.0,
360,2,2768,Lao,J103638.2+140128,159.15895,14.02408,0.20071,79.11,WISEA J103638.14+140126.6
360,2,6734,Mirabest,,159.158985,14.0241,0.2007,,
361,2,2771,Lao,J103649.5+484956,159.20451,48.83028,0.37892,69.46,SDSS J103649.08+484949.0
361,2,6499,Mirabest,,159.204495,48.83027,0.3789,,
362,2,2784,Lao,J103828.0+414848,159.6126,41.8147,0.12464,48.69,WISEA J103827.02+414852.9
362,2,6623,Mirabest,,159.61257,41.81469,0.1246,,
363,2,2785,Lao,J103837.0+011751,159.65261,1.29689,0.12853,327.28,WISEA J103836.62+011748.8
363,2,6366,Mirabest,,159.652635,1.29708,0.1285,,
364,2,2790,Lao,J103916.2+333835,159.81799,33.64163,0.36461,8.01,WISEA J103916.31+333829.8
364,2,2791,Sasmal,J103916.3+333829,159.8180833,33.6415,0.36,10.0,
365,2,2797,Lao,J103955.4+141901,159.98033,14.31516,0.38057,127.22,WISEA J103955.27+141854.5
365,2,6735,Mirabest,,159.98034,14.31518,0.3806,,
366,2,2799,Lao,J104020.0+154835,160.08412,15.80852,0.79468,11.17,DESI J104020.19+154830.7
366,2,2798,Sasmal,J104020.0+154833,160.083625,15.80927778,,18.0,
367,2,2819,Lao,J104254.1+290719,160.72821,29.12213,1.07195,29.35,DESI J104254.77+290719.7
367,2,2820,Sasmal,J104254.7+290717,160.728,29.12152778,,64.0,
368,2,2824,Lao,J104323.7+083316,160.8508,8.55132,0.28494,99.87,WISEA J104324.19+083304.7
368,2,6585,Mirabest,,160.85082,8.5514,0.2849,,
369,2,2826,Lao,J104326.3+094719,160.85901,9.78661,0.44716,18.67,DESI J104326.16+094711.8
369,2,2825,Sasmal,J104326.1+094711,160.859,9.786611111,0.43,18.0,
370,3,2837,Lao,J104501.2+125807,161.25633,12.96742,0.3056,56.32,WISEA J104501.51+125802.7
370,3,6736,Mirabest,,161.256165,12.96745,0.3056,,
370,3,2838,Sasmal,J104501.4+125802,161.2561667,12.96744444,0.3,56.0,
371,2,2843,Lao,J104544.0+525018,161.43358,52.83812,0.25726,235.43,WISEA J104544.05+525017.2
371,2,2842,Sasmal,J104544.0+525017,161.4335417,52.83808333,0.26,29.0,
372,2,2850,Lao,J104643.9+053842,161.68091,5.64419,0.30487,53.58,WISEA J104643.41+053839.0
372,2,2849,Sasmal,J104643.4+053838,161.6809167,5.644111111,0.3,51.0,
373,2,2871,Lao,J104845.8+185759,162.18861,18.9661,0.13536,85.15,2MASS J10484526+1857579
373,2,2870,Sasmal,J104845.2+185757,162.1885833,18.96605556,0.13,88.0,
374,2,2885,Lao,J104954.9+461928,162.48074,46.31988,0.35079,105.56,DESI J104955.37+461911.5
374,2,6645,Mirabest,,162.48075,46.31988,0.3508,,
375,2,2898,Lao,J105130.7+050310,162.8747,5.05671,0.22279,90.13,WISEA J105129.92+050324.1
375,2,2897,Sasmal,J105129.9+050324,162.874625,5.056722222,0.22,89.0,
376,2,2900,Lao,J105135.5+005131,162.89718,0.85934,2.23359,22.52,DESI J105135.32+005133.6
376,2,2899,Sasmal,J105135.3+005133,162.8971667,0.8593888889,2.01,21.0,
377,2,2926,Lao,J105614.3+112841,164.06155,11.47857,0.41918,20.88,WISEA J105614.77+112842.8
377,2,2927,Sasmal,J105614.7+112842,164.0615417,11.47852778,0.42,22.0,
378,2,2945,Lao,J105755.0+083802,164.4794,8.63451,0.2196,122.73,WISEA J105755.05+083804.2
378,2,7021,Mirabest,,164.479395,8.63448,0.2196,,
379,2,2978,Lao,J110332.6+035618,165.88521,3.93983,0.30444,100.55,WISEA J110332.44+035623.3
379,2,2977,Sasmal,J110332.4+035623,165.8851667,3.939944444,,101.0,
380,2,2987,Lao,J110443.7+472654,166.18548,47.44942,0.21767,102.75,DESI J110444.51+472657.8
380,2,2988,Sasmal,J110444.4+472656,166.18525,47.44911111,,67.0,
381,3,2992,Lao,J110523.9+594337,166.35068,59.72814,0.35945,88.4,WISEA J110524.16+594341.2
381,3,6523,Mirabest,,166.35105,59.72832,0.3595,,
381,3,2993,Sasmal,J110524.2+594341,166.3510833,59.72830556,0.36,89.0,
382,2,2998,Lao,J110531.2+410550,166.38297,41.09731,0.15207,81.53,WISEA J110531.91+410550.3
382,2,6647,Mirabest,,166.382985,41.09727,0.1521,,
383,2,3008,Lao,J110649.3+295353,166.70468,29.89812,0.46481,131.77,WISEA J110649.12+295353.2
383,2,6868,Mirabest,,166.70469,29.89809,0.4648,,
384,2,3019,Lao,J110812.4+261041,167.05191,26.17626,0.17515,120.97,WISEA J110812.45+261034.5
384,2,3018,Sasmal,J110812.4+261033,167.0519167,26.17605556,0.17,122.0,
385,2,3033,Lao,J111007.0+115940,167.52582,11.99523,0.12479,124.07,WISEA J111006.19+115942.8
385,2,3032,Sasmal,J111006.1+115943,167.5256667,11.99533333,0.13,122.0,
386,2,3062,Lao,J111401.4+342508,168.50755,34.41775,0.57161,11.78,WISEA J111401.81+342503.9
386,2,3063,Sasmal,J111401.7+342503,168.5074167,34.41755556,0.57,82.0,
387,2,3067,Lao,J111500.9+025910,168.75334,2.98558,0.25923,65.9,WISEA J111500.80+025908.0
387,2,6371,Mirabest,,168.75336,2.98561,0.2592,,
388,2,3069,Lao,J111508.8+283347,168.78523,28.56291,0.42866,57.51,SDSS J111508.45+283346.4
388,2,6870,Mirabest,,168.78525,28.56292,0.4287,,
389,2,3071,Lao,J111522.8+495635,168.84665,49.94472,0.31167,286.73,WISEA J111523.19+495640.9
389,2,6530,Mirabest,,168.846495,49.94469,0.3115,,
390,4,3089,Lao,J111834.5+311525,169.63977,31.25319,0.21976,324.24,2MASS J11183354+3115114
390,4,6795,Mirabest,,169.640895,31.25475,0.2181,,
390,4,6825,Mirabest,,169.639845,31.25322,0.2198,,
390,4,3088,Sasmal,J111833.5+311516,169.6396667,31.25452778,,324.0,
391,2,3127,Lao,J112508.8+031455,171.28668,3.24797,0.35533,11.33,WISEA J112508.80+031452.6
391,2,3126,Sasmal,J112508.7+031452,171.2866667,3.247833333,,12.0,
392,2,3131,Lao,J112524.4+361822,171.3489,36.30678,0.28532,44.05,WISEA J112523.73+361824.4
392,2,3130,Sasmal,J112523.7+361824,171.348875,36.30675,0.28,45.0,
393,2,3156,Lao,J112903.0+055048,172.26141,5.84722,0.3339,20.12,DESI J112902.74+055050.0
393,2,3155,Sasmal,J112902.7+055049,172.2614167,5.847194444,0.32,19.0,
394,3,3174,Lao,J113049.2+252433,172.70346,25.40989,0.14465,95.98,2MASX J11304881+2524360
394,3,6933,Mirabest,,172.703475,25.4099,0.1446,,
394,3,3172,Sasmal,J113048.8+252435,172.7034583,25.40988889,0.14,96.0,
395,2,3178,Lao,J113122.9+212616,172.84531,21.43119,0.13951,185.82,DESI J113122.87+212552.3
395,2,3177,Sasmal,J113122.8+212556,172.8453333,21.43236111,,193.0,
396,2,3182,Lao,J113131.7+012837,172.87942,1.47453,0.24139,91.63,WISEA J113131.06+012828.2
396,2,3181,Sasmal,J113131.0+012827,172.8794583,1.474388889,0.24,55.0,
397,2,3189,Lao,J113156.8-060006,172.98544,-6.0039,0.43559,89.3,DESI J113156.51-060014.0
397,2,3188,Sasmal,J113156.4-060012,172.9852917,-6.003361111,,88.0,
398,2,3191,Lao,J113157.3+390806,172.98777,39.13336,0.23284,20.09,WISEA J113157.06+390800.1
398,2,3190,Sasmal,J113157.0+390800,172.9877083,39.13336111,0.23,30.0,
399,2,3197,Lao,J113240.1+134423,173.16805,13.74041,1.06817,11.14,DESI J113240.33+134425.5
399,2,3198,Sasmal,J113240.2+134426,173.167625,13.74061111,,11.0,
400,2,3199,Lao,J113241.7+121322,173.175,12.21994,0.17355,50.91,WISEA J113242.00+121311.7
400,2,6678,Mirabest,,173.17512,12.21997,0.1735,,
401,2,3217,Lao,J113525.2+065440,173.85388,6.91149,,276.59,DESI J113524.93+065441.4
401,2,6683,Mirabest,,173.85387,6.91149,0.1585,,
402,2,3266,Lao,J114111.4+054343,175.29923,5.73476,0.09743,498.77,DESI J114111.81+054405.0
402,2,6487,Mirabest,,175.29924,5.73474,0.0974,,
403,2,3282,Lao,J114312.2+164146,175.80115,16.69426,0.43653,12.71,DESI J114312.28+164139.3
403,2,3281,Sasmal,J114312.2+164139,175.801125,16.69425,,11.0,
404,3,3289,Lao,J114340.4+072951,175.91604,7.49989,0.09642,158.17,WISEA J114339.84+072959.6
404,3,6685,Mirabest,,175.91601,7.49989,0.0964,,
404,3,3288,Sasmal,J114339.8+072959,175.9160417,7.499888889,0.1,70.0,
405,2,3292,Lao,J114423.3+035849,176.09605,3.97995,0.12763,111.8,WISEA J114423.05+035847.8
405,2,6489,Mirabest,,176.096055,3.97991,0.1276,,
406,2,3298,Lao,J114447.7+583358,176.20028,58.56401,0.33687,74.88,WISEA J114448.06+583350.4
406,2,3299,Sasmal,J114448.0+583350,176.2003333,58.564,0.34,47.0,
407,3,3301,Lao,J114522.2+152941,176.34249,15.49537,0.06822,359.86,MCG +03-30-100
407,3,6739,Mirabest,,176.342445,15.49535,0.0682,,
407,3,3302,Sasmal,J114522.2+152942,176.3425,15.49527778,,34.0,
408,2,3325,Lao,J114729.2+542142,176.87072,54.36035,0.58418,68.55,DESI J114728.97+542137.3
408,2,3324,Sasmal,J114728.9+542137,176.8707083,54.36036111,,70.0,
409,2,3331,Lao,J114833.4+233230,177.13815,23.54061,0.17605,39.53,WISEA J114833.15+233226.1
409,2,3330,Sasmal,J114833.1+233225,177.1380833,23.54052778,0.18,40.0,
410,2,3343,Lao,J114936.2+313637,177.40102,31.61027,,8.84,
