widx,Catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
21,Lao,J000443.7+062411,1.18221,6.40131,0.55224,False,True,False,False,True,False,False,False,False,25.46,8.75,0.88,,,,,WISEA J000443.72+062404.7,,,,,,s,23.31,,11.96,,,139,21,89.3,8.7,1.93,-23.75,,,,,,,,,,,,,WHL J000441.9+062135,0.5725,p,2190,152,1026,0.895,74.21,3.27,29
22,Mirabest,J000457.7+002932,1.240442,0.49241,0.3546,False,False,True,False,False,False,False,False,False,25.56,,,J000457+002932,397,51794,549,,,,,,0.1,s,4.9,94,,,4,43.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Mirabest,J000501.0+001248,1.2543854,0.21349,0.04509,True,False,False,False,False,False,False,False,False,,8.46,,J000501+001248,398,51789,431,,,,,,0.06,s,45,42.6,,,1,,,,,1.06,,11.09,3.87317293184338,1.93,3.15,9.11569,2.055,-0.966,-99,3.127,-1.871,6.02,0,,,,,,,,,,
24,Lao,J000511.3-075556,1.29805,-7.93294,0.35151,False,False,True,True,False,False,False,False,False,25.64,8.57,0.79,,,,,DESI J000511.53-075558.6,,,,,,p,104.93,,57.3,,,174,34,138,37.4,1.69,-23.88,,,,,,,,,,,,,WHL J000511.5-075559,0.33,s,1349,0,0,0.826,50.31,2.24,16
25,Lao,J000533.7-032416,1.39048,-3.40459,0.68202,False,True,False,True,False,False,False,False,False,26.03,,1.22,,,,,DESI J000533.71-032416.5,,,,,,p,43.98,,17.37,,,218,30,163.6,40.5,0.35,,,,,,,,,,,,,,WH22 J000527.1-032354,0.6562,p,2453,102,732,0.501,19.47,0.89,12
26,Lao,J000605.2+011009,1.52033,1.16692,1.07091,False,False,True,True,False,False,False,False,False,26.42,,1.01,,,,,DESI J000604.88+011000.9,,,,,,p,39.79,,18.39,,,527,63,146.3,74.4,,,,,,,,,,,,,,,WH J000604.9+011001,1.0397,p,3499,0,0,0.42,16.1,0.74,8
27,Mirabest,J000606.1+003321,1.5258114,0.55597,0.0792,False,True,False,False,False,False,True,False,False,24.87,8.53,,J000606+003321,400,51820,424,,,,,,1.33,s,126.4,488,,,4,78.62,,,,1.04,,11.59,10.163440830418,2.04,3.12,8.77774,1.506,0.691,-99,3.571,-0.355,6.2,0,,,,,,,,,,
28,Lao,J000607.5-103028,1.53119,-10.5092,0.21714,False,True,False,True,False,False,False,False,False,24.93,8.85,1.08,,,,,WISEA J000607.48-103033.1,,,,,,s,56.88,,24.95,,,204,56,151.3,67.7,1.37,-22.99,,,,,,,,,,,,,WHL J000615.3-103043,0.5476,s,2109,115,760,0.957,89.53,3.92,56
29,Lao,J000608.0+105211,1.529,10.8705,0.16922,False,True,False,True,False,False,False,False,False,24.86,8.87,1.01,,,,,WISEA J000606.95+105213.8,,,,,,s,84.54,,39.27,,,224,75,119.8,39.8,1.33,-22.9,,,,,,,,,,,,,CFSFDP J000558.9+105407,0.4949,s,1934,164,1029,0.408,11.64,0.54,6
30,Mirabest,J000611.1+011545,1.5464353,1.26271,0.1256,False,False,True,False,False,False,False,False,False,24.93,,,J000611+011545,400,51820,412,,,,,,0.31,s,1.6,212,,,4,82.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Lao,J000612.6-102820,1.55142,-10.47312,0.22143,False,False,False,True,False,False,False,False,False,24.45,8.54,0.87,,,,,WISEA J000612.34-102823.2,,,,,,s,18.45,,9.53,,,122,33,161.6,84.8,1.4,-22.5,,,,,,,,,,,,,maxBCG J000611.5-102819,0.2214,s,932,12,44,1.073,95.8,4.19,53
32,Lao,J000703.9+092110,1.76609,9.35308,0.97866,False,False,True,True,False,False,False,False,False,26.05,,0.44,,,,,DESI J000703.86+092111.1,,,,,,p,31.04,,22.19,,,205,25,135,11.4,,,,,,,,,,,,,,,Y21 J000703.9+092051,0.7741,p,2800,20,153,0.51,22.28,1.02,13
33,Lao,J000704.1-012957,1.76719,-1.49916,,False,False,True,True,False,False,False,False,False,,,0.55,,,,,,,,,,,,28.55,,18.77,,,,27,140,26.6,1.87,,,,,,,,,,,,,,,,,,,,,,,
34,Sasmal,J000705.8+053602,1.7745,5.60063888888889,,False,True,False,True,False,False,False,False,False,,,,,,,,,,,8,EE,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Lao,J000706.3+053609,1.77994,5.60262,0.23552,False,True,False,False,True,False,False,False,False,26.23,,1.79,,,,,DESI J000707.18+053609.4,f,,,,,p,806.25,,206.3,,,139,36,54.3,12.3,0.96,,,,,,,,,,,,,,,,,,,,,,,
