widx,Catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
371,Mirabest,J004446.1+162619,11.192388,16.43873,0.2165,False,True,False,False,False,False,False,False,False,24.89,,,J004446+162619,2491,53855,133,,,,,,0.33,s,10.2,60,,,4,93.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Mirabest,J004448.3+373530,11.201404,37.59185,0.2137,False,True,False,False,False,False,False,False,False,24.87,,,J004448+373530,2030,53499,463,,,,,,0.73,s,9.5,59,,,2,58.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Mirabest,J004453.1+412429,11.221643,41.40814,0.0946,False,True,False,False,False,False,True,False,False,24.4,8.14,,J004453+412429,1439,53003,515,,,,,,0.19,s,2,115.2,,,4,143.76,,,,1.02,,11.45,9.33865944779906,1.94,2.99,8.71125,0.386,-0.204,0.301,1.95,0.207,6.17,0,,,,,,,,,,
374,Mirabest,J004454.1+355904,11.225602,35.98452,0.0785,False,True,False,False,False,False,False,False,False,23.78,8.5,,J004454+355904,2034,53466,604,,,,,,0.34,s,7.5,41,,,4,87.72,,,,1.05,,11.25,5.44904501030016,2.07,3.34,8.97918,0.985,1.412,0.954,3.491,0.579,6.16,0,,,,,,,,,,
375,Sasmal,J004458.9+102644,11.2454166666667,10.4456111111111,,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,EE,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Mirabest,J004503.7+173602,11.265755,17.60058,0.3126,False,False,True,False,False,False,False,False,False,25.08,,,J004503+173602,2491,53855,637,,,,,,2.52,s,6.4,41.1,,,2,31.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Mirabest,J004509.1+095731,11.288224,9.95881,0.07891,True,False,False,False,False,False,False,False,False,,8.51,,J004509+095731,1222,52763,423,,,,,,0.54,s,42.2,56.2,,,1,,,,,1.02,,11.07,3.9515104094273,1.92,3.22,9.07829,-0.794,-0.945,0.477,0.362,0.919,6.19,0,,,,,,,,,,
378,Mirabest,J004516.2+602840,11.317746,60.47799,0.1321,False,True,False,False,False,False,False,False,False,24.42,,,J004516+602840,775,52295,210,,,,,,0.65,s,11.5,59.4,,,2,36.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Mirabest,J004516.7+081539,11.319761,8.26107,0.0756,False,True,False,False,False,False,False,False,False,24.04,8.57,,J004516+081539,1617,53112,450,,,,,,0.89,s,13.9,80,,,4,57.94,,,,1.03,,11.33,6.63646417167226,2.05,3.16,8.88795,-0.501,-0.342,0.477,1.005,0.99,6.1,0,,,,,,,,,,
380,Mirabest,J004518.2+631716,11.325881,63.28793,0.1533,False,True,False,False,False,False,False,False,False,24.82,,,J004518+631716,596,52370,17,,,,,,1.8,s,15.5,107,,,4,119.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Mirabest,J004525.7+534456,11.357347,53.7491,0.1038,False,False,True,False,False,False,False,False,False,24.34,,,J004525+534456,1013,52707,165,,,,,,0.52,s,7.6,83,,,4,103.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Mirabest,J004532.2+434755,11.384354,43.79869,0.1941,False,True,False,False,False,False,True,False,False,24.91,,,J004532+434755,1365,53062,131,,,,,,1.48,s,14.5,80.2,,,2,42.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Mirabest,J004540.1+091003,11.417261,9.16757,0.2639,False,False,False,False,False,False,False,False,False,25.3,,,J004540+091003,1223,52781,311,,,,,,0.82,s,3.1,99,,,2,52.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Lao,J004542.6+115404,11.42814,11.8998,1.56331,False,False,False,True,False,False,False,False,False,26.57,,0.73,,,,,WISEA J004542.75+115359.2,,,,,,s,29.09,,16.62,,,356,41,157.4,,0.34,,,,,,,,,,,,,,,,,,,,,,,
385,Mirabest,J004543.5+382201,11.431468,38.36716,0.06178,True,False,False,False,False,False,False,False,False,,8.37,,J004543+382201,2037,53446,609,,,,,,0.46,s,29,56.2,,,1,,,,,1.01,,10.79,2.16757882252293,1.89,3.05,9.31987,-1.627,-1.737,0,-0.918,1.262,6.41,0,,,,,,,,,,
386,Lao,J004547.9-070135,11.44968,-7.02647,,False,False,True,True,False,False,False,False,False,,,0.84,,,,,,f,,,,,,121.92,,64.04,,,,81,149.1,75.7,,,,,,,,,,,,,,,,,,,,,,,,
387,Sasmal,J004547.9-070140,11.4498333333333,-7.02797222222222,,False,False,True,True,False,False,False,False,False,,,,,,,,,,,22,EE,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Mirabest,J004550.5+585059,11.460426,58.84987,0.4099,False,True,False,False,False,False,True,False,False,25.77,,,J004550+585059,951,52398,71,,,,,,0.11,s,7.8,109.2,,,2,44.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Mirabest,J004554.2+560839,11.476111,56.14444,0.2265,False,True,False,False,False,False,True,False,False,24.91,,,J004554+560839,1310,53033,282,,,,,,2.64,s,34.6,57,,,2,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Mirabest,J004555.4+394935,11.481241,39.82657,0.2004,False,False,True,False,False,False,True,False,False,24.68,,,J004555+394935,1996,53436,544,,,,,,0.08,s,1.2,44,,,2,106.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Mirabest,J004556.8+273314,11.486709,27.55389,0.0732,False,True,False,False,False,False,False,False,False,23.93,9.1,,J004556+273314,2218,53816,458,,,,,,0.14,s,10.3,66,,,2,129.77,,,,1.01,,11.57,5.82209147147507,2.03,3.27,9.24166,-0.974,-1.87,0,-0.36,0.547,6.35,0,,,,,,,,,,
392,Mirabest,J004557.6+210113,11.490038,21.02052,0.1076,False,True,False,False,False,False,True,False,False,24.84,,,J004557+210113,2500,54178,94,,,,,,1.4,s,37,243,,,4,82.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Mirabest,J004602.9+345447,11.512207,34.91322,0.2047,False,True,False,False,False,False,False,False,False,24.68,,,J004602+345447,2113,53468,110,,,,,,2.12,s,4.1,41.7,,,2,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Mirabest,J004605.9+162336,11.524755,16.39344,0.1724,False,True,False,False,False,True,False,False,False,24.74,,,J004605+162336,2503,53856,283,,,,,,0.6,s,4.1,69,,,2,26.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Mirabest,J004606.4+075255,11.5267,7.88211,0.1806,False,False,True,False,False,False,False,False,False,24.74,,,J004606+075255,1618,53116,616,,,,,,1.21,s,14.1,63.8,,,2,40.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Mirabest,J004607.4+111544,11.530893,11.2623,0.1685,False,True,False,False,False,False,False,False,False,24.65,,,J004607+111544,1606,53055,54,,,,,,2.8,s,41.7,59,,,2,33.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Mirabest,J004607.7+155327,11.532251,15.891,0.1854,False,False,False,False,False,False,True,False,False,24.92,,,J004607+155327,1754,53385,526,,,,,,0.37,s,13.9,89.4,,,4,170.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Mirabest,J004607.7+614718,11.532152,61.7886,0.2439,False,False,True,False,False,False,False,False,False,25.26,,,J004607+614718,775,52295,639,,,,,,2.56,s,69.1,109.1,,,2,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Mirabest,J004609.5+393525,11.539675,39.59054,0.1828,False,True,False,False,False,False,False,False,False,24.57,,,J004609+393525,1996,53436,32,,,,,,0.75,s,13.1,42,,,4,157.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Mirabest,J004609.5+555818,11.539653,55.97182,0.0501,False,True,False,False,False,False,False,False,False,23.43,7.49,,J004609+555818,1310,53033,203,,,,,,2,s,10.8,46,,,2,42.73,,,,1.06,,10.54,4.52795813777957,1.92,3.41,8.43002,1.076,1.935,0,3.889,0.8,5.19,0,,,,,,,,,,
401,Mirabest,J004609.7+234513,11.540602,23.75376,0.1501,False,True,False,False,False,False,True,False,False,24.69,,,J004609+234513,2501,54084,93,,,,,,2.67,s,25.3,83,,,2,31.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Mirabest,J004611.3+244857,11.547259,24.81592,0.3012,False,True,False,False,False,False,True,False,False,25.19,,,J004611+244857,2501,54084,511,,,,,,0.14,s,11.3,57,,,2,31.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Mirabest,J004612.0+143204,11.550403,14.53447,0.08522,True,False,False,False,False,False,False,False,False,,8.26,,J004612+143204,1755,53386,276,,,,,,0.45,s,22.2,157.3,,,1,,,,,1,,10.93,3.69225172371719,1.88,3.34,8.99724,1.471,-1.004,0.699,2.535,-1.324,6.06,0,,,,,,,,,,
404,Mirabest,J004615.9+490343,11.566454,49.06205,0.0316,False,True,False,True,False,False,False,False,False,24.22,,,J004615+490343,967,52636,312,,,,,,1.2,s,166.7,732,,,4,126.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,Mirabest,J004635.3+203918,11.647291,20.65511,0.1806,False,True,False,False,False,False,False,False,False,24.83,,,J004635+203918,2506,54179,373,,,,,,0.47,s,24.4,77,,,2,26.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Lao,J004636.0-080552,11.64912,-8.09927,0.26771,False,True,False,True,False,False,False,False,False,24.61,8.4,1.65,,,,,WISEA J004635.78-080557.3,f,,,,,s,14.73,,4.2,,,89,21,151.7,40.8,1.52,-22.59,,,,,,,,,,,,,WHL J004633.5-080443,0.2677,s,1113,82,349,0.592,20.94,0.96,10
407,Sasmal,J004636.4-080545,11.652,-8.096,,False,False,True,True,False,False,False,False,False,,,,,,,,,,,1,EE,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Mirabest,J004638.6+242405,11.661129,24.40166,0.184,False,False,True,False,False,False,False,False,False,24.75,,,J004638+242405,2505,53856,152,,,,,,0.38,s,0.9,62,,,4,148.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Mirabest,J004641.3+535029,11.672284,53.84145,0.148,False,True,False,False,False,False,False,False,False,24.85,,,J004641+535029,1014,52707,5,,,,,,0.67,s,19.2,126,,,4,75.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Mirabest,J004641.8+120308,11.674372,12.05231,0.0812,False,False,True,False,False,False,True,False,False,25.41,8.6,,J004641+120308,1607,53083,105,,,,,,0.36,s,30.3,1625,,,4,78.21,,,,1.04,,11.47,7.17324164714287,1.94,3.28,8.96039,-0.329,-0.986,0.301,0.791,0.442,6.68,0,,,,,,,,,,
411,Mirabest,J004642.2+440548,11.676224,44.0967,0.3837,False,True,False,False,False,False,False,False,False,25.68,,,J004642+440548,1367,53083,201,,,,,,0.6,s,1.8,102,,,4,74.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,Mirabest,J004645.7+080216,11.69055,8.03792,0.2282,False,True,False,False,False,False,False,False,False,25.26,,,J004645+080216,1620,53137,384,,,,,,0.76,s,11.6,126,,,4,84.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Mirabest,J004648.5+043733,11.702479,4.62599,0.1593,False,True,False,False,False,False,False,False,False,25.15,,,J004648+043733,838,52378,109,,,,,,0.5,s,2,214.2,,,4,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Mirabest,J004651.6+110132,11.715082,11.0258,0.1537,False,True,False,False,False,True,False,False,False,25,,,J004651+110132,1608,53138,209,,,,,,1.57,s,37.3,164.5,,,4,65.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Mirabest,J004651.9+015422,11.716316,1.90618,0.1324,False,False,True,False,False,False,True,False,False,25.24,,,J004651+015422,514,51994,221,,,,,,0.56,s,82.3,386.3,,,2,37.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Mirabest,J004654.9+222906,11.729007,22.48523,0.1808,False,False,True,False,False,False,True,False,False,24.65,,,J004654+222906,2507,53876,542,,,,,,0.63,s,1.5,51.1,,,4,137.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Mirabest,J004656.2+440021,11.734411,44.0061,0.2991,False,False,True,False,False,False,False,False,False,25.12,,,J004656+440021,1367,53083,100,,,,,,0.43,s,6.4,49.6,,,2,45.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Lao,J004657.2-044748,11.7379,-4.79637,0.58006,False,False,True,True,False,False,False,False,False,25.27,8.73,0.56,,,,,SDSS J004657.09-044746.9,,,,,,s,15.49,,10.13,,,237,35,169.6,62.6,1.98,-22.52,,,,,,,,,,,,,,,,,,,,,,
419,Mirabest,J004657.2+380448,11.738344,38.08,0.1741,False,False,True,False,False,False,True,False,False,24.63,,,J004657+380448,1997,53442,485,,,,,,0.71,s,4.4,53,,,4,77.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Mirabest,J004657.6+251407,11.740292,25.23547,0.1776,False,True,False,False,False,False,False,False,False,24.78,,,J004657+251407,2505,53856,607,,,,,,2.05,s,3.2,71.6,,,4,89.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Mirabest,J004657.8+035815,11.741144,3.97104,0.1274,False,False,True,False,False,False,False,False,False,24.49,,,J004657+035815,839,52373,205,,,,,,0.58,s,15.8,75.6,,,2,33.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Mirabest,J004657.8+370831,11.740888,37.1422,0.1148,False,False,True,False,False,False,False,False,False,25.82,,,J004657+370831,2012,53493,629,,,,,,0.5,s,4.7,2012,,,4,269.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Mirabest,J004700.4+533852,11.751812,53.648,0.069,False,False,True,False,False,False,True,False,False,24.16,8.69,,J004700+533852,1016,52759,293,,,,,,0.39,s,2.3,127,,,4,97.53,,,,1.01,,11.46,7.04259218116311,2,3.22,8.96636,0.323,-0.433,0.477,1.753,0.133,6.11,0,,,,,,,,,,
424,Mirabest,J004705.5+100457,11.773244,10.08272,0.201,False,True,False,False,False,False,False,False,False,24.99,,,J004705+100457,1225,52760,593,,,,,,0.48,s,5.8,89.1,,,2,46.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Mirabest,J004705.5+442459,11.773056,44.41641,0.1445,False,True,False,False,False,False,True,False,False,24.54,,,J004705+442459,1367,53083,58,,,,,,0.78,s,17.9,65.1,,,2,22.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Mirabest,J004709.4+350107,11.789483,35.01877,0.0629,False,True,False,False,False,False,True,False,False,24.78,8.58,,J004709+350107,2035,53436,285,,,,,,0.27,s,615.1,637.3,,,2,40.15,,,,0.98,,11.37,5.08502578089401,1.57,3.56,9.15923,-0.688,0.966,0.477,1.596,1.946,7.6,1,,,,,,,,,,
427,Sasmal,J004711.2+103458,11.7968333333333,10.5828333333333,,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,2MASS,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Mirabest,J004712.7+215312,11.802958,21.88669,0.1743,False,True,False,False,False,False,False,False,False,24.78,,,J004712+215312,2513,54141,307,,,,,,1.03,s,15.6,74,,,2,62.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Mirabest,J004712.8+525107,11.803384,52.85209,0.0503,False,False,False,False,False,False,True,False,False,23.6,,,J004712+525107,881,52368,437,,,,,,0.32,s,9.1,68.1,,,4,187.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Mirabest,J004716.7+151924,11.81963,15.32353,0.1155,False,True,False,False,False,False,True,False,False,24.47,,,J004716+151924,1761,53376,582,,,,,,1.25,s,13.6,89,,,4,172.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Mirabest,J004719.2+435412,11.830031,43.9035,0.0709,False,True,False,False,False,False,False,False,False,23.84,8.37,,J004719+435412,1368,53084,280,,,,,,0.76,s,2.2,58,,,2,76.86,,,,1.06,,10.97,3.93476211914897,1.96,3.37,8.98198,0.482,0.45,0.602,2.431,0.5,6,0,,,,,,,,,,
432,Mirabest,J004720.2+253925,11.834364,25.65719,0.1561,False,True,False,False,False,False,True,False,False,24.88,,,J004720+253925,2510,53877,594,,,,,,0.1,s,38,119.5,,,4,128.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Mirabest,J004720.7+534320,11.836466,53.72242,0.0603,False,False,True,False,False,False,False,False,False,23.8,8.38,,J004720+534320,1017,52706,284,,,,,,2.43,s,13.1,74.3,,,2,31.28,,,,1.07,,11.25,7.9320674873787,2.07,2.68,8.65305,0.51,0.874,0.602,2.709,0.724,5.97,0,,,,,,,,,,
434,Mirabest,J004724.6+435918,11.85261,43.98852,0.0707,False,True,False,False,False,False,False,False,False,23.95,8.27,,J004724+435918,1368,53084,165,,,,,,0.35,s,23.4,75,,,2,32.98,,,,1,,11.29,4.26007637516984,1.92,3.17,9.23299,0.638,-1.457,0.903,1.455,-0.78,6.15,0,,,,,,,,,,
435,Mirabest,J004724.9+064059,11.853872,6.68333,0.08067,True,False,False,False,False,False,False,False,False,,8.48,,J004724+064059,1622,53385,299,,,,,,0.42,s,99.8,100.5,,,1,,,,,1.05,,11.39,9.1431065954988,2.01,2.74,8.66963,0.553,0.897,0,2.765,0.695,5.87,0,,,,,,,,,,
436,Mirabest,J004725.7+545006,11.857131,54.83526,0.1433,False,True,False,False,False,False,True,False,False,24.48,,,J004725+545006,1017,52706,182,,,,,,0.99,s,6.7,57,,,2,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Mirabest,J004726.0+163126,11.858624,16.52398,0.1192,False,True,False,False,False,False,False,False,False,24.24,,,J004726+163126,2512,53877,257,,,,,,0.69,s,4.2,49.1,,,4,72.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Mirabest,J004735.5+381148,11.898011,38.19682,0.1981,False,False,True,False,False,False,False,False,False,26,,,J004735+381148,2027,53433,431,,,,,,0.13,s,23.2,949,,,4,70.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Mirabest,J004735.9+093929,11.899688,9.65829,0.1028,False,False,True,False,False,False,False,False,False,25.24,,,J004735+093929,1227,52733,184,,,,,,0.22,s,2.5,672,,,4,217.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Mirabest,J004736.6+122509,11.902895,12.41937,0.08108,True,False,False,False,False,False,False,False,False,,8.43,,J004736+122509,1609,53142,591,,,,,,0.29,s,58.2,52,,,1,,,,,1.03,,11.19,4.58485847293557,1.7,2.85,9.06917,0.074,-1.289,0.477,1.005,-0.131,6.89,0,,,,,,,,,,
441,Mirabest,J004747.6+263232,11.948521,26.54229,0.1562,False,True,False,False,False,False,True,False,False,25.04,,,J004747+263232,2226,53819,247,,,,,,0.1,s,116.6,171.2,,,4,271.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Mirabest,J004748.8-032107,11.953437,-3.35214,0.08202,True,False,False,False,False,False,False,False,False,,7.38,,J004748-032107,331,52368,283,,,,,,0.44,s,50.9,50.7,,,1,,,,,0.94,,10.87,4.87982266352323,1.56,3.13,8.69501,-1.111,-2.553,0.301,-0.899,0.277,6.35,0,,,,,,,,,,
443,Mirabest,J004756.3+582035,11.984909,58.34322,0.0537,False,True,False,False,False,False,False,False,False,24.34,,,J004756+582035,1313,52790,441,,,,,,0.22,s,2.1,327,,,4,272.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Mirabest,J004758.7-003153,11.994895,-0.53164,0.1782,False,False,True,False,False,False,True,False,False,24.64,,,J004758-003153,285,51663,190,,,,,,1.16,s,2.8,52,,,4,123.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Mirabest,J004806.7+225646,12.028251,22.94623,0.2595,False,False,True,False,False,False,False,False,False,25.17,,,J004806+225646,2643,54208,481,,,,,,0.14,s,3.6,77,,,4,95.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Mirabest,J004808.2-012546,12.034274,-1.42949,0.2654,False,False,True,False,False,False,False,False,False,24.94,,,J004808-012546,331,52368,535,,,,,,0.4,s,19.5,43.3,,,2,35.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Mirabest,J004809.8+584133,12.041144,58.69257,0.1268,False,False,True,False,False,False,True,False,False,24.75,,,J004809+584133,954,52405,241,,,,,,0.23,s,1,139,,,4,131.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Mirabest,J004812.8+145153,12.053381,14.86486,0.2006,False,True,False,False,False,False,True,False,False,24.91,,,J004812+145153,1763,53463,31,,,,,,1.17,s,19.1,74.2,,,2,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Mirabest,J004813.3+131931,12.055738,13.32539,0.05837,True,False,False,False,False,False,False,False,False,,7.97,,J004813+131931,1611,53147,451,,,,,,0.12,s,110.3,103.4,,,1,,,,,0.99,,10.77,2.51938496535425,1.85,2.95,9.16923,-0.529,-1.401,0,0.351,0.39,6.74,0,,,,,,,,,,
450,Mirabest,J004816.4+022441,12.068442,2.41156,0.0845,False,False,True,False,False,False,False,False,False,24.59,8.48,,J004816+022441,517,52024,391,,,,,,1.85,s,145.3,225.6,,,2,35.41,,,,1.06,,11.67,10.8509409418977,2.01,3.01,8.80089,0.564,-0.602,0,1.888,-0.201,5.95,0,,,,,,,,,,
451,Mirabest,J004827.1+315231,12.113236,31.87541,0.2497,False,True,False,False,False,False,True,False,False,25.46,,,J004827+315231,2095,53474,61,,,,,,0.98,s,5.3,162,,,4,109.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Mirabest,J004829.6+142125,12.123677,14.35712,0.2319,False,True,False,False,False,False,False,False,False,25.05,,,J004829+142125,1764,53467,106,,,,,,1.8,s,37.8,74.4,,,2,24.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Mirabest,J004830.1+335240,12.125813,33.87782,0.0791,False,False,True,False,False,False,False,False,False,24.86,8.06,,J004830+335240,2089,53498,176,,,,,,2.68,s,88.9,480.7,,,2,45.64,,,,0.8,,11.24,5.82618927312972,1.34,2.75,8.91105,-1.149,-3.381,0,-1.425,-0.176,7.93,1,,,,,,,,,,
454,Mirabest,J004832.4+420413,12.135292,42.07037,0.5342,False,False,True,False,False,False,True,False,False,25.64,,,J004832+420413,1450,53120,291,,,,,,2.07,s,24,43.6,,,2,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Mirabest,J004832.9+440342,12.137151,44.06194,0.3405,False,True,False,False,False,False,False,False,False,25.46,,,J004832+440342,1369,53089,31,,,,,,1.29,s,1.4,81,,,2,58.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Lao,J004834.4+030345,12.14381,3.06179,1.10434,False,False,True,True,False,False,False,False,False,26.21,,0.84,,,,,DESI J004834.51+030342.4,,,,,,p,26.03,,13.69,,,210,25,160.5,28,,,,,,,,,,,,,,,WH J004834.5+030342,1.2139,p,3901,0,0,0.501,21.27,0.97,8
457,Mirabest,J004834.4+612106,12.143642,61.35178,0.2747,False,False,True,False,False,False,True,False,False,25.61,,,J004834+612106,778,52337,41,,,,,,0.33,s,80.1,186,,,4,113.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Mirabest,J004835.7+464113,12.148778,46.68716,0.101,False,True,False,False,False,False,True,False,False,24.65,,,J004835+464113,1449,53116,53,,,,,,0.09,s,63.8,176.3,,,4,202.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Mirabest,J004836.4-025745,12.151889,-2.96252,0.4808,False,False,True,False,False,False,False,False,False,26.38,,,J004836-025745,332,52367,230,,,,,,1.77,s,54.2,306.2,,,2,35.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Mirabest,J004844.2+154655,12.184474,15.78204,0.2683,False,False,True,False,False,False,True,False,False,24.95,,,J004844+154655,1765,53466,451,,,,,,0.49,s,3.6,43.1,,,2,58.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Mirabest,J004845.4+141439,12.189202,14.24424,0.0637,False,True,False,False,False,False,False,False,False,23.78,8.4,,J004845+141439,1765,53466,137,,,,,,0.11,s,29.7,62,,,2,34.4,,,,1.08,,11.37,6.07826337741089,2.03,3.13,9.00426,-0.881,-0.891,0.301,0.309,1.036,6.16,0,,,,,,,,,,
462,Mirabest,J004858.2+004727,12.242898,0.79107,0.251,False,False,True,False,False,False,False,False,False,25.09,,,J004858+004727,287,52023,573,,,,,,1.98,s,4.4,68,,,4,109.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Mirabest,J004858.6+052803,12.244316,5.46776,0.0778,True,False,False,False,False,False,False,False,False,,8.37,,J004858+052803,843,52378,501,,,,,,2.11,s,20.7,60.3,,,1,,,,,1,,11.57,9.37648203264749,1.95,2.91,8.82774,0.294,-0.958,0,1.415,-0.149,5.85,0,,,,,,,,,,
464,Mirabest,J004902.9+170917,12.262174,17.15491,0.09517,True,False,False,False,False,False,False,False,False,,8.91,,J004902+170917,2597,54231,314,,,,,,2.92,s,117.2,460,,,1,,,,,1.03,,11.85,10.4997614344385,1.99,2.86,9.00946,-0.198,-1.433,0.477,0.654,0.049,6.37,0,,,,,,,,,,
465,Mirabest,J004905.3+155417,12.272211,15.90493,0.09303,True,False,False,False,False,False,False,False,False,,8.21,,J004905+155417,1766,53468,406,,,,,,1.2,s,68,77.2,,,1,,,,,0.97,,11.37,7.90224645005437,1.81,3.11,8.77632,0.012,-0.883,0,1.185,0.17,6.11,0,,,,,,,,,,
466,Mirabest,J004915.3+502617,12.313856,50.43824,0.1992,False,False,True,False,False,False,False,False,False,25.82,,,J004915+502617,970,52413,543,,,,,,0.48,s,4.2,610,,,2,196.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Mirabest,J004915.7+122643,12.3156,12.44528,0.09317,True,False,False,False,False,False,False,False,False,,8.54,,J004915+122643,1613,53115,167,,,,,,0.34,s,39.1,47.2,,,1,,,,,1.01,,11.4,7.25491840339203,1.75,3.08,8.88055,-0.308,0.769,0,1.849,1.46,6.34,0,,,,,,,,,,
468,Mirabest,J004919.0+225510,12.329443,22.91956,0.257,False,True,False,False,False,False,False,False,False,25.05,,,J004919+225510,2646,54479,342,,,,,,0.48,s,7.8,59,,,4,90.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Mirabest,J004922.1+000417,12.342447,0.07151,0.1585,False,True,False,False,False,False,False,False,False,24.74,,,J004922+000417,288,52000,502,,,,,,2.58,s,33.5,84,,,4,135.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Mirabest,J004922.4+634144,12.343451,63.69567,0.1875,False,False,True,False,False,False,False,False,False,25.42,,,J004922+634144,780,52370,373,,,,,,0.44,s,2.6,275,,,4,289.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Mirabest,J004924.5+075330,12.352188,7.89181,0.1327,False,False,True,False,False,False,True,False,False,24.44,,,J004924+075330,1626,53472,397,,,,,,0.27,s,3.2,62,,,4,115.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Mirabest,J004928.4+205936,12.368594,20.99347,0.1085,False,True,False,False,False,False,False,False,False,24.54,,,J004928+205936,2611,54477,411,,,,,,0.31,s,8.1,118,,,2,48.29,,,,,,,,,,,,,,,,,,,,,,,,,,,
