RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
5.85723,10.28558,,,,,,False,True,True,False,J002325.74+101708.1,,,,"FR-II,WAT",25.12,11.49,1.03,159.8,46.6,35,,,,,,,,,,,
5.90297,4.27032,0.10909,24.89,51.0,,1.01,True,False,True,False,J002336.54+041610.6,,DESI J002336.71+041613.2,p,"FR-I,WAT",207.54,40.15,2.16,116.2,8.6,25,,Y21 J002336.7+041613,0.1035,s,449.0,0.0,0.0,0.556,14.9,0.69,6.0
5.94192,7.29874,0.25119,25.17,121.0,8.37,1.42,True,False,False,True,J002346.82+071759.6,f,WISEA J002346.06+071755.4,s,"FR-I,NAT",74.44,40.12,0.81,49.8,8.8,30,-23.87,AMF J002346.1+071756,0.2561,s,1068.0,0.0,0.0,1.015,80.93,3.56,50.0
5.94557,-3.47774,0.43045,25.53,139.0,9.4,1.92,True,False,True,False,J002346.82-032835.8,,DESI J002346.94-032839.9,p,"FR-I,WAT",49.61,25.34,0.88,103.3,15.1,24,-23.15,WHL J002346.9-032840,0.4234,s,1688.0,0.0,0.0,0.825,54.56,2.43,30.0
6.14995,-8.16405,0.44238,25.35,117.0,9.88,1.9,True,False,True,False,J002436.13-080953.3,,WISEA J002435.98-080950.5,s,"FR-I,WAT",29.15,13.48,1.01,94.1,7.7,20,-23.59,AMF J002436.0-080950,0.4424,s,1754.0,0.0,0.0,0.706,36.08,1.62,25.0
6.34561,-2.03785,0.21697,24.4,116.0,8.54,1.34,False,True,True,False,J002523.04-020216.8,,WISEA J002522.94-020216.2,s,"FR-II,WAT",19.31,15.02,0.33,141.9,15.6,32,-23.28,WHL J002522.9-020216,0.217,s,914.0,0.0,0.0,0.803,42.64,1.91,31.0
6.36673,3.09737,0.36232,25.18,229.0,8.7,1.75,True,False,True,False,J002528.08+030555.2,,SDSS J002528.01+030550.5,s,"FR-I,WAT",31.28,14.26,1.03,166.8,66.7,44,-23.0,AMF J002532.0+030751,0.3645,s,1476.0,135.0,708.0,0.762,41.67,1.87,20.0
6.51536,-6.70856,0.42547,25.69,317.0,8.65,1.67,False,True,True,False,J002603.71-064224.5,,WISEA J002603.68-064230.8,s,"FR-II,WAT",60.5,20.96,1.39,145.6,24.7,55,-22.52,WH J002558.4-064240,0.7028,s,2593.0,80.0,591.0,0.455,15.08,0.7,6.0
6.62686,0.88339,1.21087,26.3,333.0,,,False,True,True,False,J002630.13+005300.0,,DESI J002630.45+005300.2,p,"FR-II,WAT",25.1,12.91,0.87,136.6,18.1,39,,CFSFDP J002631.6+005423,0.4486,s,1776.0,84.0,499.0,0.495,10.47,0.49,6.0
6.63722,-11.11319,0.61447,25.21,244.0,,1.84,False,False,True,False,J002632.55-110645.8,,DESI J002632.93-110647.5,p,"--,WAT",12.75,9.22,0.43,114.8,28.3,35,,Y21 J002632.9-110647,0.6301,p,2372.0,0.0,0.0,0.724,41.88,1.88,26.0
6.82955,2.40798,0.1583,25.02,138.0,,1.06,False,False,True,False,J002719.38+022433.5,f,WISEA J002719.09+022428.7,s,"--,WAT",132.31,44.78,1.42,138.0,26.8,49,,AMF J002719.1+022429,0.1217,s,525.0,0.0,0.0,0.757,31.2,1.41,22.0
6.86565,12.22335,1.17955,26.17,263.0,,,False,False,True,False,J002727.99+121330.8,,DESI J002727.76+121324.1,p,"--,WAT",24.09,15.03,0.62,123.7,23.4,31,,,,,,,,,,,
6.96028,9.70212,0.10737,24.92,116.0,,0.87,False,True,True,False,J002750.31+094210.1,,DESI J002750.47+094207.6,p,"FR-II,WAT",261.29,127.22,0.94,168.8,122.7,57,,WH J002756.1+094120,1.1321,p,3717.0,96.0,811.0,0.51,20.87,0.95,11.0
7.11547,-4.52317,,,,,,False,True,True,False,J002827.71-043123.4,,,,"FR-II,WAT",40.54,13.85,1.41,143.7,46.1,57,,,,,,,,,,,
