Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
236,,J1247+4042,12:47:01.00,+40:42:02.3,191.75416666666663,40.70063888888889,SDSS,,,75,304.0,-0.62,,I,
237,,J1249+0143,12:49:48.06,+01:43:19.5,192.45025,1.7220833333333334,EE,,,77,,,,,
238,ab,J1249+3038,12:49:42.23,+30:38:37.9,192.4259583333333,30.64386111111111,2MASX,0.19,d,86,,,,I,13
239,,J1250-0132,12:50:03.80,-01:32:25.0,192.5158333333333,-1.5402777777777776,2MASX,0.08,*,384,,,,II,14
240,,J1250+0839,12:50:10.59,+08:39:52.7,192.544125,8.66463888888889,SDSS,0.35,d,13,,,,II,1
241,,J1250+1133,12:50:13.31,+11:33:08.0,192.5554583333333,11.552222222222223,SDSS,1.29,*,53,280.0,-0.74,65.91,I,16
242,,J1251-0123,12:51:18.15,-01:23:12.5,192.825625,-1.3868055555555556,EE,,,26,,,,,
243,,J1253+0604,12:53:26.70,+06:04:39.7,193.36125,6.077694444444444,SDSS,0.000255,d,46,292.0,-0.82,1.47e-05,II,"1, 2"
244,,J1254+6134,12:54:31.99,+61:34:05.6,193.63329166666665,61.56822222222223,SDSS,,,54,,,,II,"1, 15"
245,,J1255+0152,12:55:17.00,+01:52:59.5,193.8208333333333,1.8831944444444444,EE,,,8,,,,II,
246,,J1256+0125,12:56:22.78,+01:25:16.0,194.09491666666665,1.4211111111111112,SDSS,,,164,,,,II,
247,,J1259+4617,12:59:41.85,+46:17:39.9,194.924375,46.29441666666666,SDSS,0.42,d,13,,,,I,
248,,J1300+2916,13:00:58.31,+29:16:34.2,195.2429583333333,29.276166666666665,SDSS,0.52,d,10,171.0,-1.27,2.29,I,1
249,,J1301-0649,13:01:35.45,-06:49:58.1,195.39770833333333,-6.832805555555555,EE,,,110,,,,I,
250,c,J1304+1855,13:04:09.29,+18:55:48.7,196.0387083333333,18.93019444444445,2MASX,0.2,d,52,100.0,-0.29,2.31,,1
251,,J1306-0539,13:06:30.40,-05:39:26.2,196.62666666666664,-5.657277777777778,EE,,,22,,,,II,
252,a,J1306+3338,13:06:07.11,+33:38:13.5,196.529625,33.63708333333333,SDSS,0.3,d,22,68.0,-0.5,1.39,I,"1, 5"
253,c,J1307+5651,13:07:43.70,+56:51:03.3,196.9320833333333,56.85091666666667,2MASX,0.25,d,136,,,,II,13
254,,J1308+0829,13:08:36.40,+08:29:00.7,197.15166666666664,8.483527777777777,EE,,,13,66.0,-0.73,,I,
255,,J1315+0612,13:15:17.25,+06:12:57.3,198.821875,6.215916666666667,SDSS,0.26,*,45,123.0,-0.45,1.8,II,14
256,,J1319+5443,13:19:52.38,+54:43:08.6,199.96825,54.71905555555556,SDSS,0.37,d,16,71.0,-0.67,1.21,I,
257,,J1320-0341,13:20:31.33,-03:41:05.6,200.13054166666663,-3.684888888888889,EE,,,55,,,,II,
